PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,12.9845
2,6,10,13.4682
3,11,15,13.5046
4,16,20,13.5071
5,21,25,13.7571
6,26,30,13.8424
7,31,35,13.8579
8,36,40,13.2243
9,41,45,13.829
10,46,50,13.6876
11,51,55,13.4811
12,56,60,13.7199
13,61,65,13.7393
14,66,70,14.304
15,71,75,14.4907
16,76,80,14.0523
17,81,85,14.9664
18,86,90,14.1518
19,91,95,13.4349
20,96,100,13.6806
21,101,105,13.8455
22,106,110,13.9769
23,111,115,14.5256
24,116,120,14.929
25,121,125,15.2217
26,126,130,15.9727
27,131,135,16.0111
28,136,140,16.9183
29,141,145,17.5307
30,146,150,17.9273
31,151,155,18.9256
32,156,160,19.6716
33,161,165,19.9873
34,166,170,20.4826
35,171,175,19.2029
36,176,180,19.1519
37,181,185,19.408
38,186,190,20.0404
39,191,195,20.7482
40,196,200,16.7657
41,201,205,15.8453
42,206,210,13.6811
43,211,215,14.2353
44,216,220,13.8239
45,221,225,14.2602
46,226,230,14.3118
47,231,235,13.6095
48,236,240,14.0978
49,241,245,14.1249
50,246,250,14.2114
51,251,255,14.0855
52,256,260,13.2524
53,261,265,14.1869
54,266,270,14.1583
55,271,275,14.7683
56,276,280,15.2804
57,281,285,15.1895
58,286,290,15.4808
59,291,295,16.9258
60,296,300,17.0911
61,301,305,17.8163
62,306,310,17.9827
63,311,315,17.6956
64,316,320,15.9993
65,321,325,14.5384
66,326,330,14.691
67,331,335,14.0721
68,336,340,14.5599
69,341,345,14.7496
70,346,350,14.7998
71,351,355,14.8478
72,356,360,15.262
