PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,12.8718
2,6,10,13.2226
3,11,15,13.1492
4,16,20,13.243
5,21,25,13.5519
6,26,30,13.1753
7,31,35,13.1586
8,36,40,12.9469
9,41,45,12.8567
10,46,50,13.2117
11,51,55,13.3155
12,56,60,13.4209
13,61,65,13.2633
14,66,70,13.5397
15,71,75,13.8987
16,76,80,13.82
17,81,85,13.4826
18,86,90,13.8068
19,91,95,13.8133
20,96,100,14.3541
21,101,105,14.8346
22,106,110,14.5529
23,111,115,15.637
24,116,120,16.5192
25,121,125,15.9527
26,126,130,16.6382
27,131,135,17.4874
28,136,140,17.7887
29,141,145,18.9213
30,146,150,19.9783
31,151,155,20.9326
32,156,160,20.9407
33,161,165,21.5527
34,166,170,20.7034
35,171,175,20.494
36,176,180,20.7412
37,181,185,21.3566
38,186,190,21.0886
39,191,195,15.9489
40,196,200,14.4767
41,201,205,14.8183
42,206,210,14.4815
43,211,215,14.4761
44,216,220,14.3572
45,221,225,14.371
46,226,230,14.592
47,231,235,14.3193
48,236,240,14.0772
49,241,245,14.6777
50,246,250,15.0981
51,251,255,14.5399
52,256,260,14.653
53,261,265,15.1614
54,266,270,14.0891
55,271,275,15.0572
56,276,280,15.5252
57,281,285,15.5901
58,286,290,15.639
59,291,295,16.7331
60,296,300,16.1305
61,301,305,15.9139
62,306,310,16.2388
63,311,315,15.7737
64,316,320,16.0225
65,321,325,14.3744
66,326,330,15.1165
67,331,335,14.9561
68,336,340,16.4889
69,341,345,16.5865
70,346,350,15.3505
71,351,355,15.436
72,356,360,15.8222
